,description,species,text_length,cleaned_text,chunked,POS Tag
10,"Sightings of the Black-naped Oriole may be patchy across the plains of Tamil Nadu, but there surely are exceptions, which include a wooded patch in Chennai",Black-naped Oriole,155,sighting black naped oriole may patchy across plain tamil nadu surely exception include wooded patch chennai,sighting black naped oriole may patchy across plain tamil nadu surely exception include wooded patch chennai,"[[('sighting', 'VBG'), ('black', 'JJ'), ('naped', 'JJ'), ('oriole', 'NN'), ('may', 'MD'), ('patchy', 'VB'), ('across', 'IN'), ('plain', 'NN'), ('tamil', 'NN'), ('nadu', 'NN'), ('surely', 'RB'), ('exception', 'JJ'), ('include', 'VBP'), ('wooded', 'JJ'), ('patch', 'NN'), ('chennai', 'NN')]]"
11,"[(""id"":1149613,""tempId"":null,""draftId"":null,""revisionId"":null,""isProvisionalDraft"":false,""uid"":""e6544569-3603-414a-b436-dab7c9813aa0"",""siteSettingsId"":114â€¦",Black-naped Oriole,157,id tempid null draftid null revisionid null isprovisionaldraft false uid e b dab c aa sitesettingsid,id tempid null draftid null revisionid null isprovisionaldraft false uid e b dab c aa sitesettingsid,"[[('id', 'NN'), ('tempid', 'JJ'), ('null', 'JJ'), ('draftid', 'NN'), ('null', 'JJ'), ('revisionid', 'NN'), ('null', 'NN'), ('isprovisionaldraft', 'NN'), ('false', 'JJ'), ('uid', 'NN'), ('e', 'NN'), ('b', 'NN'), ('dab', 'NN'), ('c', 'NN'), ('aa', 'NN'), ('sitesettingsid', 'NN')]]"
12,"â€œA Black-naped Oriole (Oriolus chinensis) nest was exposed when the Broad-leaved Mahogany tree (Swietenia macrophylla), in which the nest was built, shed all",Black-naped Oriole,159,black naped oriole oriolus chinensis nest exposed broad leaved mahogany tree swietenia macrophylla nest built shed,black naped oriole oriolus chinensis nest exposed broad leaved mahogany tree swietenia macrophylla nest built shed,"[[('black', 'JJ'), ('naped', 'VBD'), ('oriole', 'JJ'), ('oriolus', 'JJ'), ('chinensis', 'NN'), ('nest', 'JJS'), ('exposed', 'VBN'), ('broad', 'JJ'), ('leaved', 'VBD'), ('mahogany', 'JJ'), ('tree', 'JJ'), ('swietenia', 'NN'), ('macrophylla', 'NN'), ('nest', 'JJS'), ('built', 'VBN'), ('shed', 'VBD')]]"
13,"Apr 1, 2022 Â·  The Collared Kingfisher, a common resident in Singapore, actually has brown-pigmented feathers. No blue pigment The National Park's Board (NParks) put up a Facebook post to share about the various ... ",Collared Kingfisher,217,apr collared kingfisher common resident singapore actually brown pigmented feather blue pigment national park board nparks put facebook post share various,apr collared kingfisher common resident singapore actually brown pigmented feather blue pigment national park board nparks put facebook post share various,"[[('apr', 'RB'), ('collared', 'VBN'), ('kingfisher', 'NN'), ('common', 'JJ'), ('resident', 'NN'), ('singapore', 'NN'), ('actually', 'RB'), ('brown', 'RB'), ('pigmented', 'JJ'), ('feather', 'JJR'), ('blue', 'JJ'), ('pigment', 'JJ'), ('national', 'JJ'), ('park', 'NN'), ('board', 'NN'), ('nparks', 'VBZ'), ('put', 'VBN'), ('facebook', 'NN'), ('post', 'NN'), ('share', 'NN'), ('various', 'JJ')]]"
14,"January 17, 2018 - Egretta garzetta Biometrics Wingspan: ... and March though it may be seen all year around on the following Wind Birds's tours: Half-day Birdwatching Little Egret Field ID Keys Shape & Size A medium-small, elegant, white egret with a slender neck, thin bill and longÂ ...",Little Egret,289,january egretta garzetta biometrics wingspan march though may seen year around following wind bird tour half day birdwatching little egret field id key shape size medium small elegant white egret slender neck thin bill long,january egretta garzetta biometrics wingspan march though may seen year around following wind bird tour half day birdwatching little_egret field id key shape size medium small elegant white egret slender neck thin bill long,"[[('january', 'JJ'), ('egretta', 'NN'), ('garzetta', 'NN'), ('biometrics', 'NNS'), ('wingspan', 'VBP'), ('march', 'VBP'), ('though', 'IN'), ('may', 'MD'), ('seen', 'VBN'), ('year', 'NN'), ('around', 'IN'), ('following', 'VBG'), ('wind', 'NN'), ('bird', 'JJ'), ('tour', 'JJ'), ('half', 'NN'), ('day', 'NN'), ('birdwatching', 'VBG'), ('little_egret', 'JJ'), ('field', 'NN'), ('id', 'NN'), ('key', 'JJ'), ('shape', 'NN'), ('size', 'NN'), ('medium', 'NN'), ('small', 'JJ'), ('elegant', 'JJ'), ('white', 'JJ'), ('egret', 'JJ'), ('slender', 'NN'), ('neck', 'NN'), ('thin', 'JJ'), ('bill', 'NN'), ('long', 'RB')]]"
15,"The elegant little egret was once a rare visitor to our shores, but can now regularly be spotted around the coastline of England and Wales. Look out for its beautiful neck plumes that herald the breeding season.",Little Egret,211,elegant little egret rare visitor shore regularly spotted around coastline england wale look beautiful neck plume herald breeding season,elegant little_egret rare visitor shore regularly spotted around coastline england wale look beautiful neck plume herald breeding season,"[[('elegant', 'JJ'), ('little_egret', 'NN'), ('rare', 'JJ'), ('visitor', 'NN'), ('shore', 'VBD'), ('regularly', 'RB'), ('spotted', 'VBN'), ('around', 'IN'), ('coastline', 'NN'), ('england', 'VBP'), ('wale', 'JJ'), ('look', 'NN'), ('beautiful', 'JJ'), ('neck', 'NN'), ('plume', 'NN'), ('herald', 'NN'), ('breeding', 'NN'), ('season', 'NN')]]"
16,"Black-naped Oriole: Juvenile and adult. â€œAttached is a set of images of the Black-necked Oriole ( Oriolus chinensis) which further illustrate the difference in plumage between an adult and juveniles. Differences between the two juveniles of different age can also be seen. The differences are mainly in the underside of the body, in the nape ... ",Black-naped Oriole,348,black naped oriole juvenile adult attached set image black necked oriole oriolus chinensis illustrate difference plumage adult juvenile difference two juvenile different age also seen difference mainly underside body nape,black naped oriole juvenile adult attached set image black necked oriole oriolus chinensis illustrate difference plumage adult juvenile difference two juvenile different age also seen difference mainly underside body nape,"[[('black', 'JJ'), ('naped', 'VBD'), ('oriole', 'JJ'), ('juvenile', 'NN'), ('adult', 'NN'), ('attached', 'VBN'), ('set', 'VBN'), ('image', 'NN'), ('black', 'JJ'), ('necked', 'JJ'), ('oriole', 'JJ'), ('oriolus', 'JJ'), ('chinensis', 'NN'), ('illustrate', 'NN'), ('difference', 'NN'), ('plumage', 'NN'), ('adult', 'NN'), ('juvenile', 'JJ'), ('difference', 'NN'), ('two', 'CD'), ('juvenile', 'NN'), ('different', 'JJ'), ('age', 'NN'), ('also', 'RB'), ('seen', 'VBN'), ('difference', 'NN'), ('mainly', 'RB'), ('underside', 'JJ'), ('body', 'NN'), ('nape', 'NN')]]"
17,26 Feb 2010 ï¿½ The Javan Mynas are everywhere in Singapore and the cemetery was no exception. A close second was the Pink Necked Pigeon. Most of these seemedï¿½...,Javan Myna,164,feb javan myna everywhere singapore cemetery exception close second pink necked pigeon seemed,feb javan_myna everywhere singapore cemetery exception close second pink necked pigeon seemed,"[[('feb', 'NN'), ('javan_myna', 'NN'), ('everywhere', 'RB'), ('singapore', 'RB'), ('cemetery', 'JJ'), ('exception', 'NN'), ('close', 'JJ'), ('second', 'JJ'), ('pink', 'NN'), ('necked', 'VBD'), ('pigeon', 'NN'), ('seemed', 'VBD')]]"
18,Project Noah is a tool that nature lovers can use to explore and document local wildlife and a common technology platform that research groups can use to harness the power of citizen scientists everywhere.,Black-naped Oriole,205,project noah tool nature lover use explore document local wildlife common technology platform research group use harness power citizen scientist everywhere,project noah tool nature lover use explore document local wildlife common technology platform research group use harness power citizen scientist everywhere,"[[('project', 'NN'), ('noah', 'JJ'), ('tool', 'JJ'), ('nature', 'NN'), ('lover', 'NN'), ('use', 'NN'), ('explore', 'FW'), ('document', 'NN'), ('local', 'JJ'), ('wildlife', 'NN'), ('common', 'JJ'), ('technology', 'NN'), ('platform', 'NN'), ('research', 'NN'), ('group', 'NN'), ('use', 'NN'), ('harness', 'NN'), ('power', 'NN'), ('citizen', 'JJ'), ('scientist', 'NN'), ('everywhere', 'RB')]]"
19,"Orioles are omnivorous birds grouped in 2 different families. Explore what do orioles eat, orioles diet by types, and what eats orioles here.",Black-naped Oriole,141,oriole omnivorous bird grouped different family explore oriole eat oriole diet type eats oriole,oriole omnivorous bird grouped different family explore oriole eat oriole diet type eats oriole,"[[('oriole', 'RB'), ('omnivorous', 'JJ'), ('bird', 'NN'), ('grouped', 'VBD'), ('different', 'JJ'), ('family', 'NN'), ('explore', 'RB'), ('oriole', 'JJ'), ('eat', 'NN'), ('oriole', 'JJ'), ('diet', 'JJ'), ('type', 'NN'), ('eats', 'NNS'), ('oriole', 'VBP')]]"
20, A Singapore Government Agency Website Â· Â© 2023 Flora Fauna Web. All Rights Reserved,Little Egret,86,singapore government agency website flora fauna web right reserved,singapore government agency website flora fauna web right reserved,"[[('singapore', 'JJ'), ('government', 'NN'), ('agency', 'NN'), ('website', 'VB'), ('flora', 'NNS'), ('fauna', 'VBP'), ('web', 'RB'), ('right', 'RB'), ('reserved', 'VBN')]]"
21,"Nov 17, 2019 Â·  Common Kingfisher: Courtship by Ang Siew Siew. Watch on. The pair of kingfishers, a male and a female, were indulging in a courtship ritual, see HERE. Apparently there was another Collared Kingfisher ( Todiramphus chloris) couple and a lone White-throated Kingfisher ( Halcyon smyrnensis) along the same stretch of the canal. Ang Siew Siew. ",Collared Kingfisher,358,nov common kingfisher courtship ang siew siew watch pair kingfisher male female indulging courtship ritual see apparently another collared kingfisher todiramphus chloris couple lone white throated kingfisher halcyon smyrnensis along stretch canal ang siew siew,nov common kingfisher courtship ang siew siew watch pair kingfisher male female indulging courtship ritual see apparently another collared kingfisher todiramphus chloris couple lone white throated kingfisher halcyon smyrnensis along stretch canal ang siew siew,"[[('nov', 'JJ'), ('common', 'JJ'), ('kingfisher', 'NN'), ('courtship', 'NN'), ('ang', 'NN'), ('siew', 'NN'), ('siew', 'NN'), ('watch', 'VBP'), ('pair', 'NN'), ('kingfisher', 'PRP$'), ('male', 'JJ'), ('female', 'JJ'), ('indulging', 'VBG'), ('courtship', 'JJ'), ('ritual', 'JJ'), ('see', 'NN'), ('apparently', 'RB'), ('another', 'DT'), ('collared', 'VBD'), ('kingfisher', 'CC'), ('todiramphus', 'JJ'), ('chloris', 'JJ'), ('couple', 'NN'), ('lone', 'CD'), ('white', 'JJ'), ('throated', 'VBD'), ('kingfisher', 'NN'), ('halcyon', 'NN'), ('smyrnensis', 'NN'), ('along', 'IN'), ('stretch', 'JJ'), ('canal', 'NN'), ('ang', 'NN'), ('siew', 'NN'), ('siew', 'NN')]]"
22,"22 Feb 2022 ï¿½ Common Names: Mynah bird, myna bird, mina bird, maina bird, common mynah, hill mynah, Indian mynah ; Scientific Name: Acridotheres tristis (ï¿½...",Javan Myna,162,feb common name mynah bird myna bird mina bird maina bird common mynah hill mynah indian mynah scientific name acridotheres tristis,feb common name mynah bird myna bird mina bird maina bird common mynah hill mynah indian mynah scientific name acridotheres tristis,"[[('feb', 'JJ'), ('common', 'JJ'), ('name', 'NN'), ('mynah', 'JJ'), ('bird', 'NN'), ('myna', 'NN'), ('bird', 'NN'), ('mina', 'NNP'), ('bird', 'NN'), ('maina', 'NN'), ('bird', 'NN'), ('common', 'JJ'), ('mynah', 'NN'), ('hill', 'NN'), ('mynah', 'VBZ'), ('indian', 'JJ'), ('mynah', 'NN'), ('scientific', 'JJ'), ('name', 'NN'), ('acridotheres', 'VBZ'), ('tristis', 'NN')]]"
23,"[raw][/raw] Scientific Name: Acridotheres javanicus Malay Name: Gembala-Kerbau Sawah Jawa Chinese Name: çˆªå“‡å…«å“¥ Range: Breeding range in Java, but introduced in many Asian countries. Taxonomy: Monotypic. Size: 24-25 cm Identification: Dark grey overall with whitish or pale yellow iris and yellow bill. Undertail coverts are white, with yellow legs. Prominent white base to primaries visibleâ€¦",Javan Myna,399,raw raw scientific name acridotheres javanicus malay name gembala kerbau sawah jawa chinese name range breeding range java introduced many asian country taxonomy monotypic size cm identification dark grey overall whitish pale yellow iris yellow bill undertail covert white yellow leg prominent white base primary visible,raw raw scientific name acridotheres javanicus malay name gembala kerbau sawah jawa chinese name range breeding range java introduced many asian country taxonomy monotypic size cm identification dark grey overall whitish pale yellow iris yellow bill undertail covert white yellow leg prominent white base primary visible,"[[('raw', 'JJ'), ('raw', 'JJ'), ('scientific', 'JJ'), ('name', 'NN'), ('acridotheres', 'VBZ'), ('javanicus', 'JJ'), ('malay', 'NN'), ('name', 'NN'), ('gembala', 'NN'), ('kerbau', 'NN'), ('sawah', 'NN'), ('jawa', 'NN'), ('chinese', 'JJ'), ('name', 'NN'), ('range', 'NN'), ('breeding', 'NN'), ('range', 'NN'), ('java', 'NN'), ('introduced', 'VBD'), ('many', 'JJ'), ('asian', 'JJ'), ('country', 'NN'), ('taxonomy', 'VBD'), ('monotypic', 'JJ'), ('size', 'NN'), ('cm', 'NN'), ('identification', 'NN'), ('dark', 'NN'), ('grey', 'NN'), ('overall', 'JJ'), ('whitish', 'JJ'), ('pale', 'NN'), ('yellow', 'JJ'), ('iris', 'NN'), ('yellow', 'JJ'), ('bill', 'NN'), ('undertail', 'JJ'), ('covert', 'JJ'), ('white', 'JJ'), ('yellow', 'JJ'), ('leg', 'NN'), ('prominent', 'JJ'), ('white', 'JJ'), ('base', 'NN'), ('primary', 'NN'), ('visible', 'JJ')]]"
24,"Population. Population justification: The global population size has not been quantified, but the species is reported to be very widespread and common to abundant (del Hoyo et al. 2001). Trend justification: This species is suspected to be declining locally owing to ongoing destruction of mangrove forests for development. ",Collared Kingfisher,324,population population justification global population size quantified specie reported widespread common abundant del hoyo et al trend justification specie suspected declining locally owing ongoing destruction mangrove forest development,population population justification global population size quantified specie reported widespread common abundant del hoyo et al trend justification specie suspected declining locally owing ongoing destruction mangrove forest development,"[[('population', 'NN'), ('population', 'NN'), ('justification', 'NN'), ('global', 'JJ'), ('population', 'NN'), ('size', 'NN'), ('quantified', 'VBD'), ('specie', 'NN'), ('reported', 'VBN'), ('widespread', 'JJ'), ('common', 'JJ'), ('abundant', 'JJ'), ('del', 'NN'), ('hoyo', 'NN'), ('et', 'FW'), ('al', 'JJ'), ('trend', 'NN'), ('justification', 'NN'), ('specie', 'RB'), ('suspected', 'VBD'), ('declining', 'VBG'), ('locally', 'RB'), ('owing', 'VBG'), ('ongoing', 'VBG'), ('destruction', 'NN'), ('mangrove', 'FW'), ('forest', 'NN'), ('development', 'NN')]]"
25,"Published: August 24, 2020 ",Little Egret,27,published august,published august,"[[('published', 'VBN'), ('august', 'NN')]]"
26,"We can organise one day birding tour that depart from Kuala Lumpur,include, mangrove forest, Montane forest, Garden, Open field, Wetland and Lowland Rainforest.",Black-naped Oriole,160,organise one day birding tour depart kuala lumpur include mangrove forest montane forest garden open field wetland lowland rainforest,organise one day birding tour depart kuala lumpur include mangrove forest montane forest garden open field wetland lowland rainforest,"[[('organise', 'VB'), ('one', 'CD'), ('day', 'NN'), ('birding', 'VBG'), ('tour', 'JJ'), ('depart', 'NN'), ('kuala', 'NN'), ('lumpur', 'JJ'), ('include', 'VBP'), ('mangrove', 'JJ'), ('forest', 'JJS'), ('montane', 'NN'), ('forest', 'JJS'), ('garden', 'NN'), ('open', 'JJ'), ('field', 'NN'), ('wetland', 'NN'), ('lowland', 'NN'), ('rainforest', 'NN')]]"
27,Missing:  content | Show results with:content,Javan Myna,45,missing content show result content,missing content show result content,"[[('missing', 'VBG'), ('content', 'NN'), ('show', 'NN'), ('result', 'NN'), ('content', 'NN')]]"
28,"5 Jun 2015 ï¿½ Today, the familiar Javan Myna is probably our commonest resident bird, has topped the counts of almost all our bird censuses in recent years,ï¿½...",Javan Myna,163,jun today familiar javan myna probably commonest resident bird topped count almost bird census recent year,jun today familiar javan_myna probably commonest resident bird topped count almost bird census recent year,"[[('jun', 'NN'), ('today', 'NN'), ('familiar', 'JJ'), ('javan_myna', 'NN'), ('probably', 'RB'), ('commonest', 'JJ'), ('resident', 'NN'), ('bird', 'NN'), ('topped', 'VBD'), ('count', 'NN'), ('almost', 'RB'), ('bird', 'JJ'), ('census', 'NN'), ('recent', 'JJ'), ('year', 'NN')]]"
29,"Find the perfect javan myna stock photo, image, vector, illustration or 360 image. Available for both RF and RM licensing.",Javan Myna,122,find perfect javan myna stock photo image vector illustration image available rf rm licensing,find perfect javan_myna stock photo image vector illustration image available rf rm licensing,"[[('find', 'VB'), ('perfect', 'JJ'), ('javan_myna', 'NN'), ('stock', 'NN'), ('photo', 'NN'), ('image', 'NN'), ('vector', 'NN'), ('illustration', 'NN'), ('image', 'NN'), ('available', 'JJ'), ('rf', 'NN'), ('rm', 'NN'), ('licensing', 'NN')]]"
30," Browse Getty Imagesâ€™ premium collection of high-quality, authentic Little Egret stock photos, royalty-free images, and pictures. Little Egret stock photos are available in a variety of sizes and formats to fit your needs.",Little Egret,224,browse getty image premium collection high quality authentic little egret stock photo royalty free image picture little egret stock photo available variety size format fit need,browse getty image premium collection high quality authentic little_egret stock photo royalty free image picture little_egret stock photo available variety size format fit need,"[[('browse', 'NN'), ('getty', 'JJ'), ('image', 'NN'), ('premium', 'NN'), ('collection', 'NN'), ('high', 'JJ'), ('quality', 'NN'), ('authentic', 'JJ'), ('little_egret', 'JJ'), ('stock', 'NN'), ('photo', 'NN'), ('royalty', 'NN'), ('free', 'JJ'), ('image', 'NN'), ('picture', 'NN'), ('little_egret', 'JJ'), ('stock', 'NN'), ('photo', 'NN'), ('available', 'JJ'), ('variety', 'NN'), ('size', 'NN'), ('format', 'JJ'), ('fit', 'NN'), ('need', 'NN')]]"
31,"FRACTURED TIBIOTARSUS (LEG BONE)? MYNAH PROBLEM FOR OUR VET TEAM!

Rescued with a fractured leg bone, this Javan mynah has made a full recovery. We look...",Javan Myna,155,fractured tibiotarsus leg bone mynah problem vet team rescued fractured leg bone javan mynah made full recovery look,fractured tibiotarsus leg bone mynah problem vet team rescued fractured leg bone javan mynah made full recovery look,"[[('fractured', 'VBN'), ('tibiotarsus', 'NN'), ('leg', 'NN'), ('bone', 'NN'), ('mynah', 'NN'), ('problem', 'NN'), ('vet', 'NN'), ('team', 'NN'), ('rescued', 'VBD'), ('fractured', 'JJ'), ('leg', 'NN'), ('bone', 'NN'), ('javan', 'NN'), ('mynah', 'NN'), ('made', 'VBD'), ('full', 'JJ'), ('recovery', 'NN'), ('look', 'NN')]]"
32,"File: Black-naped Oriole (Oriolus chinensis chinensis), Calapan, Oriental Mindoro, Philippines 2.jpg ",Black-naped Oriole,101,file black naped oriole oriolus chinensis chinensis calapan oriental mindoro philippine jpg,file black naped oriole oriolus chinensis chinensis calapan oriental mindoro philippine jpg,"[[('file', 'JJ'), ('black', 'JJ'), ('naped', 'JJ'), ('oriole', 'NN'), ('oriolus', 'JJ'), ('chinensis', 'NN'), ('chinensis', 'NN'), ('calapan', 'NN'), ('oriental', 'JJ'), ('mindoro', 'NN'), ('philippine', 'NN'), ('jpg', 'NN')]]"
34," Egretta garzetta, which is also known as Little Egret. #Herons",Little Egret,63,egretta garzetta also known little egret heron,egretta garzetta also known little_egret heron,"[[('egretta', 'NN'), ('garzetta', 'NN'), ('also', 'RB'), ('known', 'VBN'), ('little_egret', 'JJ'), ('heron', 'NN')]]"
