,index,description,species,cleaned_text
10,10,"Sightings of the Black-naped Oriole may be patchy across the plains of Tamil Nadu, but there surely are exceptions, which include a wooded patch in Chennai",Black-naped Oriole,"['sightings', 'blacknaped', 'oriole', 'may', 'patchy', 'across', 'plains', 'tamil', 'nadu', 'surely', 'exceptions', 'include', 'wooded', 'patch', 'chennai']"
11,11,"[(""id"":1149613,""tempId"":null,""draftId"":null,""revisionId"":null,""isProvisionalDraft"":false,""uid"":""e6544569-3603-414a-b436-dab7c9813aa0"",""siteSettingsId"":114â€¦",Black-naped Oriole,['id1149613tempidnulldraftidnullrevisionidnullisprovisionaldraftfalseuide65445693603414ab436dab7c9813aa0sitesettingsid114']
12,12,"â€œA Black-naped Oriole (Oriolus chinensis) nest was exposed when the Broad-leaved Mahogany tree (Swietenia macrophylla), in which the nest was built, shed all",Black-naped Oriole,"['blacknaped', 'oriole', 'oriolus', 'chinensis', 'nest', 'exposed', 'broadleaved', 'mahogany', 'tree', 'swietenia', 'macrophylla', 'nest', 'built', 'shed']"
13,13,"Apr 1, 2022 Â·  The Collared Kingfisher, a common resident in Singapore, actually has brown-pigmented feathers. No blue pigment The National Park's Board (NParks) put up a Facebook post to share about the various ... ",Collared Kingfisher,"['apr', '1', '2022', 'collared', 'kingfisher', 'common', 'resident', 'singapore', 'actually', 'brownpigmented', 'feathers', 'blue', 'pigment', 'national', 'parks', 'board', 'nparks', 'put', 'facebook', 'post', 'share', 'various']"
14,14,"January 17, 2018 - Egretta garzetta Biometrics Wingspan: ... and March though it may be seen all year around on the following Wind Birds's tours: Half-day Birdwatching Little Egret Field ID Keys Shape & Size A medium-small, elegant, white egret with a slender neck, thin bill and longÂ ...",Little Egret,"['january', '17', '2018', 'egretta', 'garzetta', 'biometrics', 'wingspan', 'march', 'though', 'may', 'seen', 'year', 'around', 'following', 'wind', 'birdss', 'tours', 'halfday', 'birdwatching', 'little', 'egret', 'field', 'id', 'keys', 'shape', 'size', 'mediumsmall', 'elegant', 'white', 'egret', 'slender', 'neck', 'thin', 'bill', 'long']"
15,15,"The elegant little egret was once a rare visitor to our shores, but can now regularly be spotted around the coastline of England and Wales. Look out for its beautiful neck plumes that herald the breeding season.",Little Egret,"['elegant', 'little', 'egret', 'rare', 'visitor', 'shores', 'regularly', 'spotted', 'around', 'coastline', 'england', 'wales', 'look', 'beautiful', 'neck', 'plumes', 'herald', 'breeding', 'season']"
16,16,"Black-naped Oriole: Juvenile and adult. â€œAttached is a set of images of the Black-necked Oriole ( Oriolus chinensis) which further illustrate the difference in plumage between an adult and juveniles. Differences between the two juveniles of different age can also be seen. The differences are mainly in the underside of the body, in the nape ... ",Black-naped Oriole,"['blacknaped', 'oriole', 'juvenile', 'adult', 'attached', 'set', 'images', 'blacknecked', 'oriole', 'oriolus', 'chinensis', 'illustrate', 'difference', 'plumage', 'adult', 'juveniles', 'differences', 'two', 'juveniles', 'different', 'age', 'also', 'seen', 'differences', 'mainly', 'underside', 'body', 'nape']"
17,17,26 Feb 2010 ï¿½ The Javan Mynas are everywhere in Singapore and the cemetery was no exception. A close second was the Pink Necked Pigeon. Most of these seemedï¿½...,Javan Myna,"['26', 'feb', '2010', 'javan', 'mynas', 'everywhere', 'singapore', 'cemetery', 'exception', 'close', 'second', 'pink', 'necked', 'pigeon', 'seemed']"
18,18,Project Noah is a tool that nature lovers can use to explore and document local wildlife and a common technology platform that research groups can use to harness the power of citizen scientists everywhere.,Black-naped Oriole,"['project', 'noah', 'tool', 'nature', 'lovers', 'use', 'explore', 'document', 'local', 'wildlife', 'common', 'technology', 'platform', 'research', 'groups', 'use', 'harness', 'power', 'citizen', 'scientists', 'everywhere']"
19,19,"Orioles are omnivorous birds grouped in 2 different families. Explore what do orioles eat, orioles diet by types, and what eats orioles here.",Black-naped Oriole,"['orioles', 'omnivorous', 'birds', 'grouped', '2', 'different', 'families', 'explore', 'orioles', 'eat', 'orioles', 'diet', 'types', 'eats', 'orioles']"
20,20, A Singapore Government Agency Website Â· Â© 2023 Flora Fauna Web. All Rights Reserved,Little Egret,"['singapore', 'government', 'agency', 'website', '2023', 'flora', 'fauna', 'web', 'rights', 'reserved']"
21,21,"Nov 17, 2019 Â·  Common Kingfisher: Courtship by Ang Siew Siew. Watch on. The pair of kingfishers, a male and a female, were indulging in a courtship ritual, see HERE. Apparently there was another Collared Kingfisher ( Todiramphus chloris) couple and a lone White-throated Kingfisher ( Halcyon smyrnensis) along the same stretch of the canal. Ang Siew Siew. ",Collared Kingfisher,"['nov', '17', '2019', 'common', 'kingfisher', 'courtship', 'ang', 'siew', 'siew', 'watch', 'pair', 'kingfishers', 'male', 'female', 'indulging', 'courtship', 'ritual', 'see', 'apparently', 'another', 'collared', 'kingfisher', 'todiramphus', 'chloris', 'couple', 'lone', 'whitethroated', 'kingfisher', 'halcyon', 'smyrnensis', 'along', 'stretch', 'canal', 'ang', 'siew', 'siew']"
22,22,"22 Feb 2022 ï¿½ Common Names: Mynah bird, myna bird, mina bird, maina bird, common mynah, hill mynah, Indian mynah ; Scientific Name: Acridotheres tristis (ï¿½...",Javan Myna,"['22', 'feb', '2022', 'common', 'names', 'mynah', 'bird', 'myna', 'bird', 'mina', 'bird', 'maina', 'bird', 'common', 'mynah', 'hill', 'mynah', 'indian', 'mynah', 'scientific', 'name', 'acridotheres', 'tristis']"
23,23,"[raw][/raw] Scientific Name: Acridotheres javanicus Malay Name: Gembala-Kerbau Sawah Jawa Chinese Name: çˆªå“‡å…«å“¥ Range: Breeding range in Java, but introduced in many Asian countries. Taxonomy: Monotypic. Size: 24-25 cm Identification: Dark grey overall with whitish or pale yellow iris and yellow bill. Undertail coverts are white, with yellow legs. Prominent white base to primaries visibleâ€¦",Javan Myna,"['rawraw', 'scientific', 'name', 'acridotheres', 'javanicus', 'malay', 'name', 'gembalakerbau', 'sawah', 'jawa', 'chinese', 'name', 'range', 'breeding', 'range', 'java', 'introduced', 'many', 'asian', 'countries', 'taxonomy', 'monotypic', 'size', '2425', 'cm', 'identification', 'dark', 'grey', 'overall', 'whitish', 'pale', 'yellow', 'iris', 'yellow', 'bill', 'undertail', 'coverts', 'white', 'yellow', 'legs', 'prominent', 'white', 'base', 'primaries', 'visible']"
24,24,"Population. Population justification: The global population size has not been quantified, but the species is reported to be very widespread and common to abundant (del Hoyo et al. 2001). Trend justification: This species is suspected to be declining locally owing to ongoing destruction of mangrove forests for development. ",Collared Kingfisher,"['population', 'population', 'justification', 'global', 'population', 'size', 'quantified', 'species', 'reported', 'widespread', 'common', 'abundant', 'del', 'hoyo', 'et', 'al', '2001', 'trend', 'justification', 'species', 'suspected', 'declining', 'locally', 'owing', 'ongoing', 'destruction', 'mangrove', 'forests', 'development']"
25,25,"Published: August 24, 2020 ",Little Egret,"['published', 'august', '24', '2020']"
26,26,"We can organise one day birding tour that depart from Kuala Lumpur,include, mangrove forest, Montane forest, Garden, Open field, Wetland and Lowland Rainforest.",Black-naped Oriole,"['organise', 'one', 'day', 'birding', 'tour', 'depart', 'kuala', 'lumpurinclude', 'mangrove', 'forest', 'montane', 'forest', 'garden', 'open', 'field', 'wetland', 'lowland', 'rainforest']"
27,27,Missing:  content | Show results with:content,Javan Myna,"['missing', 'content', 'show', 'results', 'withcontent']"
28,28,"5 Jun 2015 ï¿½ Today, the familiar Javan Myna is probably our commonest resident bird, has topped the counts of almost all our bird censuses in recent years,ï¿½...",Javan Myna,"['5', 'jun', '2015', 'today', 'familiar', 'javan', 'myna', 'probably', 'commonest', 'resident', 'bird', 'topped', 'counts', 'almost', 'bird', 'censuses', 'recent', 'years']"
29,29,"Find the perfect javan myna stock photo, image, vector, illustration or 360 image. Available for both RF and RM licensing.",Javan Myna,"['find', 'perfect', 'javan', 'myna', 'stock', 'photo', 'image', 'vector', 'illustration', '360', 'image', 'available', 'rf', 'rm', 'licensing']"
30,30," Browse Getty Imagesâ€™ premium collection of high-quality, authentic Little Egret stock photos, royalty-free images, and pictures. Little Egret stock photos are available in a variety of sizes and formats to fit your needs.",Little Egret,"['browse', 'getty', 'images', 'premium', 'collection', 'highquality', 'authentic', 'little', 'egret', 'stock', 'photos', 'royaltyfree', 'images', 'pictures', 'little', 'egret', 'stock', 'photos', 'available', 'variety', 'sizes', 'formats', 'fit', 'needs']"
31,31,"FRACTURED TIBIOTARSUS (LEG BONE)? MYNAH PROBLEM FOR OUR VET TEAM!

Rescued with a fractured leg bone, this Javan mynah has made a full recovery. We look...",Javan Myna,"['fractured', 'tibiotarsus', 'leg', 'bone', 'mynah', 'problem', 'vet', 'team', 'rescued', 'fractured', 'leg', 'bone', 'javan', 'mynah', 'made', 'full', 'recovery', 'look']"
32,32,"File: Black-naped Oriole (Oriolus chinensis chinensis), Calapan, Oriental Mindoro, Philippines 2.jpg ",Black-naped Oriole,"['file', 'blacknaped', 'oriole', 'oriolus', 'chinensis', 'chinensis', 'calapan', 'oriental', 'mindoro', 'philippines', '2jpg']"
33,34," Egretta garzetta, which is also known as Little Egret. #Herons",Little Egret,"['egretta', 'garzetta', 'also', 'known', 'little', 'egret', 'herons']"
34,35,"November 16, 2018 - Welcome to BirdWatch Ireland, the largest independent conservation organisation in Ireland. Established in 1968, we currently have over 15,000 members and supporters and a local network of over 30 branches nationwide.",Little Egret,"['november', '16', '2018', 'welcome', 'birdwatch', 'ireland', 'largest', 'independent', 'conservation', 'organisation', 'ireland', 'established', '1968', 'currently', '15000', 'members', 'supporters', 'local', 'network', '30', 'branches', 'nationwide']"
35,36,"Avibase is an extensive database information system about all birds of the world, containing over &1 million records about 10,000 species and 22,000 subspecies of birds, including distribution information for 20,000 regions, taxonomy, synonyms in several languages and more. ",Black-naped Oriole,"['avibase', 'extensive', 'database', 'information', 'system', 'birds', 'world', 'containing', '1', 'million', 'records', '10000', 'species', '22000', 'subspecies', 'birds', 'including', 'distribution', 'information', '20000', 'regions', 'taxonomy', 'synonyms', 'several', 'languages']"
36,37," During winter, dark days of wild storms can give way to the perfect, glistening stillness of frost-encrusted winter landscapes â€“ it is the stuff of wonder and beauty, of nature at its utmost. In The Nature of Winter, Jim Crumley ventures into our countryside to experience firsthand the chaosÂ ...",Little Egret,"['winter', 'dark', 'days', 'wild', 'storms', 'give', 'way', 'perfect', 'glistening', 'stillness', 'frostencrusted', 'winter', 'landscapes', 'stuff', 'wonder', 'beauty', 'nature', 'utmost', 'nature', 'winter', 'jim', 'crumley', 'ventures', 'countryside', 'experience', 'firsthand', 'chaos']"
37,38,"Good morning! â˜€ï¸ 

Myna birds are a common sight on the streets of Singapore, but did you know that the Javan Myna (no yellow eye patch) boasts more...",Javan Myna,"['good', 'morning', 'myna', 'birds', 'common', 'sight', 'streets', 'singapore', 'know', 'javan', 'myna', 'yellow', 'eye', 'patch', 'boasts']"
38,39,"It was reviewed on 19:49, 30 March 2007 (UTC) by FlickreviewR, who found it to be licensed under the terms of the cc-by-2.0, which is compatible with the Commons. It is, however, not the same license as specified on upload, which was the cc-by-sa-2.0, and it is unknown whether that license ever was valid. ",Black-naped Oriole,"['reviewed', '1949', '30', 'march', '2007', 'utc', 'flickreviewr', 'found', 'licensed', 'terms', 'ccby20', 'compatible', 'commons', 'however', 'license', 'specified', 'upload', 'ccbysa20', 'unknown', 'whether', 'license', 'ever', 'valid']"
39,40,"Black-naped Oriole: Directed by Sacha Goedegebure. With Hillary Blazer-Doyle, Su-Ping Chio, Marlon Dance-Hooi, Nadia Ramlee. When Zari finds a baby bird in a nest that has fallen out of a tree, she accidentally leaves it on top of a car that drives off, prompting the rangers to launch a high-speed car chase to get the baby bird back. ",Black-naped Oriole,"['blacknaped', 'oriole', 'directed', 'sacha', 'goedegebure', 'hillary', 'blazerdoyle', 'suping', 'chio', 'marlon', 'dancehooi', 'nadia', 'ramlee', 'zari', 'finds', 'baby', 'bird', 'nest', 'fallen', 'tree', 'accidentally', 'leaves', 'top', 'car', 'drives', 'prompting', 'rangers', 'launch', 'highspeed', 'car', 'chase', 'get', 'baby', 'bird', 'back']"
40,41,"Looking for fun facts about a white-collared kingfisher? Learn about this amazing bird and discover other animals, from tiny insects to giant mammals!",Collared Kingfisher,"['looking', 'fun', 'facts', 'whitecollared', 'kingfisher', 'learn', 'amazing', 'bird', 'discover', 'animals', 'tiny', 'insects', 'giant', 'mammals']"
41,42,7 Nov 2019 ï¿½ The Javan Myna (Acridotheres javanicus) also known as the white ï¿½ The Common Myna or Indian Myna Sometimes Spelled Mynah Is a Bird in the Familyï¿½...,Javan Myna,"['7', 'nov', '2019', 'javan', 'myna', 'acridotheres', 'javanicus', 'also', 'known', 'white', 'common', 'myna', 'indian', 'myna', 'sometimes', 'spelled', 'mynah', 'bird', 'family']"
42,43,"White-collared kingfishers have a turquoise head and wings with a broad, white collar bordered by a narrow, black line. They have white chest feathers, black feet and bill. Males tend to have a slightly more blue tinge, while females tend to have a slightly more green tinge. Juvenile birds are duller in color with a broader black collar band ... ",Collared Kingfisher,"['whitecollared', 'kingfishers', 'turquoise', 'head', 'wings', 'broad', 'white', 'collar', 'bordered', 'narrow', 'black', 'line', 'white', 'chest', 'feathers', 'black', 'feet', 'bill', 'males', 'tend', 'slightly', 'blue', 'tinge', 'females', 'tend', 'slightly', 'green', 'tinge', 'juvenile', 'birds', 'duller', 'color', 'broader', 'black', 'collar', 'band']"
43,44,14 May 2018 ï¿½ TAXONOMY The Javan myna is sometimes included in the great myna ... This site uses cookies to improve your experience and to help show contentï¿½...,Javan Myna,"['14', 'may', '2018', 'taxonomy', 'javan', 'myna', 'sometimes', 'included', 'great', 'myna', 'site', 'uses', 'cookies', 'improve', 'experience', 'help', 'show', 'content']"
44,45,"Beautiful golden oriole with a long, lipstick-red bill and an elegant black band across the eyes. Very similar to Black-naped Oriole, but with a longer, thinner bill, a thinner black eye-band in the adults, and no such band in the juveniles. Tends to be uncommon and local in moist lowland to montane forests, where it frequents coniferous stands. Song is a brief phrase of elegant whistled notes, while the loud, jabbering call is confusingly similar to that of a woodpecker.",Black-naped Oriole,"['beautiful', 'golden', 'oriole', 'long', 'lipstickred', 'bill', 'elegant', 'black', 'band', 'across', 'eyes', 'similar', 'blacknaped', 'oriole', 'longer', 'thinner', 'bill', 'thinner', 'black', 'eyeband', 'adults', 'band', 'juveniles', 'tends', 'uncommon', 'local', 'moist', 'lowland', 'montane', 'forests', 'frequents', 'coniferous', 'stands', 'song', 'brief', 'phrase', 'elegant', 'whistled', 'notes', 'loud', 'jabbering', 'call', 'confusingly', 'similar', 'woodpecker']"
45,46,"[raw][/raw] Scientific Name: Todiramphus chloris Malay Name: Pekaka Bakau Biasa Chinese Name: ç™½é¢†ç¿¡ç¿  Range: Found from northeast Africa, Middle East, India, Southeast Asia to northern Australia Taxonomy: Polytypic. Subspecies are: abyssinicus, kalbaensis, vidali, davisoni, occipitalis, humii, armstrongi, laubmannianus, chloropterus, azelus, palmeri, collaris, chloris, teraokai. Local Subspecies: humii Size: 24-26 cm Identification: Adult has rich blueâ€¦",Collared Kingfisher,"['rawraw', 'scientific', 'name', 'todiramphus', 'chloris', 'malay', 'name', 'pekaka', 'bakau', 'biasa', 'chinese', 'name', 'range', 'found', 'northeast', 'africa', 'middle', 'east', 'india', 'southeast', 'asia', 'northern', 'australia', 'taxonomy', 'polytypic', 'subspecies', 'abyssinicus', 'kalbaensis', 'vidali', 'davisoni', 'occipitalis', 'humii', 'armstrongi', 'laubmannianus', 'chloropterus', 'azelus', 'palmeri', 'collaris', 'chloris', 'teraokai', 'local', 'subspecies', 'humii', 'size', '2426', 'cm', 'identification', 'adult', 'rich', 'blue']"
46,47,Javan Mynas are everywhere you look. Learn 5 lessons on how you can be as successful as these alien species of birds.,Javan Myna,"['javan', 'mynas', 'everywhere', 'look', 'learn', '5', 'lessons', 'successful', 'alien', 'species', 'birds']"
47,48,"[raw][/raw] Scientific Name: Acridotheres tristis Malay Name: Gembala-Kerbau Rumah Chinese Name: å®¶å…«å“¥ Range: From Central Asia andÂ South Asia, through the Thai-Peninsula to Singapore. Also found in Sumatra, Java, northern coast of Borneo and various parts of the world via introductions.Â Â  Taxonomy: Polytypic. Subspecies are: tristis, melanosternus. Local Subspecies: tristis Size: 24.5-27 cm Identification: Brownish overallâ€¦",Javan Myna,"['rawraw', 'scientific', 'name', 'acridotheres', 'tristis', 'malay', 'name', 'gembalakerbau', 'rumah', 'chinese', 'name', 'range', 'central', 'asia', 'south', 'asia', 'thaipeninsula', 'singapore', 'also', 'found', 'sumatra', 'java', 'northern', 'coast', 'borneo', 'various', 'parts', 'world', 'via', 'introductions', 'taxonomy', 'polytypic', 'subspecies', 'tristis', 'melanosternus', 'local', 'subspecies', 'tristis', 'size', '24527', 'cm', 'identification', 'brownish', 'overall']"
48,50,"Beautiful golden oriole with a long, lipstick-red bill and an elegant black band across the eyes. Very similar to Black-naped Oriole, but with a longer, thinner bill, a thinner black eye-band in the adults, and no such band in the juveniles. Tends to be uncommon and local in moist lowland to montane forests, where it frequents coniferous stands. Song is a brief phrase of elegant whistled notes ... ",Black-naped Oriole,"['beautiful', 'golden', 'oriole', 'long', 'lipstickred', 'bill', 'elegant', 'black', 'band', 'across', 'eyes', 'similar', 'blacknaped', 'oriole', 'longer', 'thinner', 'bill', 'thinner', 'black', 'eyeband', 'adults', 'band', 'juveniles', 'tends', 'uncommon', 'local', 'moist', 'lowland', 'montane', 'forests', 'frequents', 'coniferous', 'stands', 'song', 'brief', 'phrase', 'elegant', 'whistled', 'notes']"
49,51,"February 1, 2017 - 01.02.2017 - Etchings of birds by Winifred Austen (1876-1964)",Little Egret,"['february', '1', '2017', '01022017', 'etchings', 'birds', 'winifred', 'austen', '18761964']"
50,52,"2 Dec 2021 ï¿½ Not to be confused with the Indian/Common mynah, which has a browner plumage and a yellow patch behind its eye.",Javan Myna,"['2', 'dec', '2021', 'confused', 'indiancommon', 'mynah', 'browner', 'plumage', 'yellow', 'patch', 'behind', 'eye']"
51,53,"8 May 2020 ï¿½ The Javan myna is native to Indonesia and was first brought to Singapore in the 1920s, via the pet trade. These birds made their way into theï¿½...",Javan Myna,"['8', 'may', '2020', 'javan', 'myna', 'native', 'indonesia', 'first', 'brought', 'singapore', '1920s', 'via', 'pet', 'trade', 'birds', 'made', 'way']"
52,54,"Oct 24, 2023 Â·  Effective population size fluctuates more on islands. Using a large-scale genomic dataset of 30 kingfisher species, including a newly annotated Collared Kingfisher (Todiramphus chloris collaris ... ",Collared Kingfisher,"['oct', '24', '2023', 'effective', 'population', 'size', 'fluctuates', 'islands', 'using', 'largescale', 'genomic', 'dataset', '30', 'kingfisher', 'species', 'including', 'newly', 'annotated', 'collared', 'kingfisher', 'todiramphus', 'chloris', 'collaris']"
53,55,Free photos search by javan myna keyword. You can freely use this picture âœ“ For commercial use âœ“ No attribution required,Javan Myna,"['free', 'photos', 'search', 'javan', 'myna', 'keyword', 'freely', 'use', 'picture', 'commercial', 'use', 'attribution', 'required']"
54,56," Crystal figurines of Beautiful White Egret manufactured by traditional glassmaking technology. Every produced item is an original. Egret bird can be a amazing and original gift for Women and Men, same as their Home. The main symbolicof the Egret figurine is the purifier of filth and protectionÂ ...",Little Egret,"['crystal', 'figurines', 'beautiful', 'white', 'egret', 'manufactured', 'traditional', 'glassmaking', 'technology', 'every', 'produced', 'item', 'original', 'egret', 'bird', 'amazing', 'original', 'gift', 'women', 'men', 'home', 'main', 'symbolicof', 'egret', 'figurine', 'purifier', 'filth', 'protection']"
55,57,"Apr 11, 2021 Â·  Collared Kingfisher. Collared Kingfisher or mangrove kingfisher is a medium-sized kingfisher, mostly present in the coastal space of India, which is one of the types of kingfisher. The additional subspecies happen regionally across the coasts of the Andaman and Nicobar Islands. Blue Eared Kingfisher ",Collared Kingfisher,"['apr', '11', '2021', 'collared', 'kingfisher', 'collared', 'kingfisher', 'mangrove', 'kingfisher', 'mediumsized', 'kingfisher', 'mostly', 'present', 'coastal', 'space', 'india', 'one', 'types', 'kingfisher', 'additional', 'subspecies', 'happen', 'regionally', 'across', 'coasts', 'andaman', 'nicobar', 'islands', 'blue', 'eared', 'kingfisher']"
56,59,"The collared kingfisher ( Todiramphus chloris) is a medium-sized kingfisher belonging to the subfamily Halcyoninae, the tree kingfishers. It is also known as the white-collared kingfisher, black-masked kingfisher or mangrove kingfisher. It has a wide range extending from the Red Sea across southern Asia to Polynesia. ",Collared Kingfisher,"['collared', 'kingfisher', 'todiramphus', 'chloris', 'mediumsized', 'kingfisher', 'belonging', 'subfamily', 'halcyoninae', 'tree', 'kingfishers', 'also', 'known', 'whitecollared', 'kingfisher', 'blackmasked', 'kingfisher', 'mangrove', 'kingfisher', 'wide', 'range', 'extending', 'red', 'sea', 'across', 'southern', 'asia', 'polynesia']"
57,60,"COLLARED KINGFISHERTodiramphus chloris Alcedinidae Family Bird #22 - June 2008 This is called White-collared Kingfisher in the Kennedy guide. We first saw this during the guided birdwatching trip at UP, led by the Wild Bird Club of the Philippines. After seeing it there, we realized that it is common and found even in our own neighborhood. This is such a big, noisy, and conspicuous bird that ... ",Collared Kingfisher,"['collared', 'kingfishertodiramphus', 'chloris', 'alcedinidae', 'family', 'bird', '22', 'june', '2008', 'called', 'whitecollared', 'kingfisher', 'kennedy', 'guide', 'first', 'saw', 'guided', 'birdwatching', 'trip', 'led', 'wild', 'bird', 'club', 'philippines', 'seeing', 'realized', 'common', 'found', 'even', 'neighborhood', 'big', 'noisy', 'conspicuous', 'bird']"
58,61,"Altamira Oriole, Audubonâ€™s Oriole. Robert McQuade. An Audubonâ€™s (left) and Altamira oriole share a stump. The southern tip of Texas is home to two lesser known orioles, Altamira and Audubonâ€™s. Unlike the more northern species, these two are nonmigratory. They stick around all winter in that subtropical climate. ",Black-naped Oriole,"['altamira', 'oriole', 'audubons', 'oriole', 'robert', 'mcquade', 'audubons', 'left', 'altamira', 'oriole', 'share', 'stump', 'southern', 'tip', 'texas', 'home', 'two', 'lesser', 'known', 'orioles', 'altamira', 'audubons', 'unlike', 'northern', 'species', 'two', 'nonmigratory', 'stick', 'around', 'winter', 'subtropical', 'climate']"
59,63,px-captcha,Javan Myna,['pxcaptcha']
60,64,"Javan Myna. 2,439.00â‚º. Javan ... You will carry much more than a dress. Model wears size 36 s. Size:83-60-94 Height: 1.76. Product Content:95% Polyester 5% Lycra",Javan Myna,"['javan', 'myna', '243900', 'javan', 'carry', 'much', 'dress', 'model', 'wears', 'size', '36', 'size836094', 'height', '176', 'product', 'content95', 'polyester', '5', 'lycra']"
61,65,"Black-naped Oriole Oriolus chinensis. Black-naped Oriole. LC Least Concern. Names (26) Subspecies (18) Bruno Walther and Peter Jones. Version: 1.0 â€” Published March 4, 2020. Text last updated February 11, 2013. ",Black-naped Oriole,"['blacknaped', 'oriole', 'oriolus', 'chinensis', 'blacknaped', 'oriole', 'lc', 'least', 'concern', 'names', '26', 'subspecies', '18', 'bruno', 'walther', 'peter', 'jones', 'version', '10', 'published', 'march', '4', '2020', 'text', 'last', 'updated', 'february', '11', '2013']"
62,66,"December 1, 2020 - The little egret (Egretta garzetta), a bird that you can find in southern Europe, Africa, South Asia, Australia and Indonesia.",Little Egret,"['december', '1', '2020', 'little', 'egret', 'egretta', 'garzetta', 'bird', 'find', 'southern', 'europe', 'africa', 'south', 'asia', 'australia', 'indonesia']"
